ChildId,ChildAddress,ParentName,Internet,SourceDate,DirectPercent,TotalPercent,ChildNameWebsite
BAC4401387900003,Gračanica bb,MH ERS MP AD TREBINJE,http://www.blberza.com/Pages/IssuerData.aspx?code=RITE,20230817,65,65,"MJEŠOVITI HOLDING ELEKTROPRIVREDA REPUBLIKE SRPSKE, TREBINJE, ZAVISNO PREDUZEĆE RUDNIK I TERMOELEKTRANA GACKO A.D. GACKO"
BAC4401387900003,Gračanica bb,PREF AD BANJA LUKA,http://www.blberza.com/Pages/IssuerData.aspx?code=RITE,20230817,10.05,10.05,"MJEŠOVITI HOLDING ELEKTROPRIVREDA REPUBLIKE SRPSKE, TREBINJE, ZAVISNO PREDUZEĆE RUDNIK I TERMOELEKTRANA GACKO A.D. GACKO"
